目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
1015,2 ,85.97,84.46,81.56,85.61,82.78,83.06,84.49,81.44,2,12,3,6,3,5,1,1988,4,7,7,9,30.000,20,18,10,10,0
1016,2 ,92.48,79.62,85.17,81.45,83.85,72.49,77.77,74.09,2,26,2,5,5,6,1,1993,6,3,6,8,15.000,5,7,0,0,1
1017,2 ,85.24,83.48,81.56,84.72,82.61,80.52,82.40,81.09,1,18,3,5,5,5,2,1987,5,10,6,4,16.000,11,10,20,0,0
1018,2 ,64.12,59.99,66.69,66.66,63.64,61.38,59.95,62.55,1,15,1,5,3,5,1,1989,5,5,3,2,15.000,5,9,20,5,0
1019,2 ,78.92,81.85,77.81,77.77,77.76,77.77,77.77,77.76,2,20,2,12,6,6,3,1979,5,20,4,1,30.000,20,23,0,0,0
1020,2 ,73.21,73.35,77.81,67.55,74.75,69.74,68.78,74.86,2,30,2,5,3,5,1,1990,6,5,4,2,25.000,21,16,11,6,0
1021,2 ,73.93,64.58,62.94,70.82,60.40,68.88,82.21,67.01,1,5,1,5,3,5,1,1992,6,6,8,10,20.000,7,9,20,0,0
1022,2 ,73.71,79.43,77.81,85.19,77.70,83.06,82.35,85.54,1,12,2,5,3,5,1,1984,5,13,4,7,20.000,10,12,40,10,0
1023,2 ,73.93,75.78,77.81,77.77,74.52,69.41,73.38,70.76,2,38,2,13,5,6,1,1982,6,16,3,4,35.000,23,19,15,13,0
1024,2 ,76.29,80.81,77.81,77.77,77.76,77.77,77.77,77.76,2,5,2,9,3,5,1,1988,5,7,7,9,13.000,40,30,10,10,0
1025,2 ,83.21,85.63,88.92,85.61,85.63,86.14,82.16,84.77,2,12,3,5,3,5,1,1989,4,6,7,9,30.000,20,26,10,10,0
1026,2 ,66.69,66.69,66.69,66.66,67.96,69.41,68.95,66.66,1,12,1,5,3,5,1,1990,6,5,3,4,22.000,10,7,50,5,0
1027,2 ,87.28,83.12,99.03,84.72,78.24,77.98,93.31,89.22,2,18,1,12,3,5,1,1982,5,13,3,6,28.000,16,17,0,0,1
1028,2 ,88.38,77.40,92.67,85.19,82.94,94.70,80.20,81.87,2,9,1,8,2,3,#NULL!,1991,5,9,3,2,20.000,5,16,22,8,0
1029,2 ,77.05,80.81,70.30,81.45,81.00,72.49,71.10,81.09,2,10,2,9,4,4,#NULL!,1988,6,7,7,9,13.000,50,40,10,10,0
1030,2 ,83.93,85.63,85.17,88.88,83.85,86.14,84.31,84.77,2,35,3,12,4,4,#NULL!,1985,5,11,7,9,13.000,25,15,40,15,0
1031,2 ,85.04,85.63,85.17,88.88,85.63,88.88,84.31,84.77,2,16,3,9,4,4,#NULL!,1985,3,12,7,9,30.000,25,25,10,10,1
1032,2 ,77.81,72.37,63.08,77.77,71.51,72.49,75.68,73.66,1,15,2,9,6,6,2,1983,5,11,5,6,13.000,8,5,15,20,0
1033,2 ,87.81,82.63,66.69,77.77,74.69,75.03,68.95,74.44,2,27,1,2,3,2,#NULL!,1992,6,4,3,8,19.000,8,10,0,0,0
1034,2 ,77.99,74.76,74.05,74.50,69.73,64.12,73.35,66.23,2,35,1,13,4,5,2,1985,4,13,4,2,30.000,15,25,0,0,0
1035,2 ,64.12,66.69,66.69,66.66,63.10,66.66,66.67,63.33,2,15,2,6,2,3,#NULL!,1988,6,10,3,3,15.000,10,10,20,0,0
1036,2 ,86.70,79.83,85.17,88.88,87.09,86.14,86.59,85.54,2,10,3,1,4,4,#NULL!,1996,5,4,5,7,20.000,8,15,20,5,0
1037,2 ,93.53,93.22,85.17,96.30,88.81,94.17,91.04,92.20,2,25,1,18,3,5,1,1979,6,19,4,2,23.000,8,16,0,0,1
1038,2 ,41.70,35.77,37.09,37.48,33.32,39.15,35.62,37.00,2,29,2,2,5,6,1,1991,5,4,1,5,6.000,9,25,13,0,0
1039,2 ,77.81,77.80,77.81,77.77,77.76,77.77,77.77,77.76,1,10,2,8,2,3,#NULL!,1990,5,10,7,9,10.000,6,8,18,13,0
1040,2 ,82.80,79.47,81.56,84.72,81.00,83.06,79.88,78.11,2,40,2,20,3,5,1,1980,5,15,4,2,25.000,20,20,0,0,0
1041,2 ,88.54,83.93,85.17,92.56,87.79,77.77,88.87,84.77,2,40,2,20,5,6,1,1980,4,16,4,2,35.000,30,30,0,0,1
1042,2 ,83.01,82.07,77.81,81.93,75.99,85.81,82.41,85.54,1,5,2,10,4,2,#NULL!,1989,6,8,7,9,13.000,50,40,10,10,0
1043,2 ,82.47,83.52,77.81,85.61,79.54,86.14,82.16,81.09,2,36,1,9,4,5,2,1984,4,12,2,4,18.000,12,11,20,0,0
1044,2 ,64.66,74.52,77.81,77.77,77.60,77.77,79.87,77.76,1,21,1,7,3,5,1,1984,6,10,4,5,18.000,10,13,12,0,0
1045,2 ,72.10,74.80,74.05,77.77,74.52,75.03,64.37,70.76,2,37,1,10,4,5,2,1982,5,13,7,9,20.000,6,7,35,11,0
1046,2 ,73.93,69.08,74.05,74.50,72.91,75.03,73.20,73.66,2,30,1,10,3,5,1,1985,5,10,4,2,29.000,17,12,20,20,0
1047,2 ,79.84,81.09,77.81,81.45,84.08,83.06,82.35,85.54,2,15,2,9,2,3,#NULL!,1988,5,6,8,10,8.000,36,30,10,10,0
1048,2 ,73.15,74.52,70.44,77.77,84.02,75.23,82.16,77.76,2,26,1,6,3,2,#NULL!,1994,4,3,4,7,11.000,15,22,12,0,0
1049,2 ,73.93,76.91,70.44,74.08,72.91,83.60,82.35,84.77,2,35,1,13,2,3,#NULL!,1985,4,12,3,5,30.000,25,25,0,0,0
1050,2 ,85.23,94.50,92.67,88.88,88.93,91.63,88.69,77.76,2,35,3,9,4,5,1,1985,6,16,4,5,34.000,18,14,36,5,0
1051,2 ,73.21,74.80,70.44,77.77,77.76,77.77,79.87,77.76,2,12,1,5,5,6,1,1988,5,11,2,4,18.000,10,14,0,0,0
1052,2 ,77.07,67.10,59.33,74.50,61.64,64.45,57.84,62.98,1,8,1,4,4,5,2,1982,4,15,4,2,16.000,12,10,30,10,0
1053,2 ,66.28,76.39,66.69,84.72,82.78,75.03,79.74,77.42,1,19,1,1,3,5,1,1986,5,9,6,6,19.000,10,8,0,0,0
1054,2 ,72.10,72.12,70.30,70.82,63.41,71.62,64.52,67.43,1,16,1,6,3,5,1,1989,6,6,4,4,16.000,18,15,21,6,0
1055,2 ,70.57,68.68,70.44,66.66,71.67,71.95,73.38,70.33,1,15,1,6,2,3,#NULL!,1990,6,5,5,2,20.000,15,12,20,5,0
1056,2 ,73.08,75.17,70.44,74.50,74.69,71.95,75.48,69.98,2,33,1,6,3,5,1,1987,4,8,3,5,23.000,11,18,15,0,0
1057,2 ,59.26,44.97,55.58,52.28,69.67,72.81,55.56,54.34,2,31,2,10,3,2,#NULL!,1988,6,9,6,4,20.000,8,9,0,25,0
1058,2 ,79.84,80.77,81.56,81.03,83.85,80.52,86.60,77.76,1,10,2,5,5,6,1,1984,5,13,4,6,24.000,16,12,0,25,0
1059,2 ,82.23,85.91,81.56,88.88,83.85,85.81,82.15,84.77,2,35,1,8,3,5,1,1984,5,13,3,2,23.000,9,12,0,25,0
1060,2 ,75.42,69.69,70.44,85.19,79.54,80.52,73.52,74.01,2,30,1,10,5,6,1,1990,6,6,5,5,31.000,25,27,0,0,0
1061,2 ,80.58,78.01,85.17,77.77,76.69,79.99,82.35,76.99,2,5,1,3,3,5,1,1980,4,15,9,11,30.000,25,26,0,0,0
1062,2 ,72.82,69.12,66.69,70.82,71.67,74.70,73.32,70.33,2,16,1,12,5,6,1,1978,8,16,3,4,36.000,24,15,30,0,0
1063,1 ,76.37,76.33,85.31,81.93,81.00,81.06,79.69,65.88,2,19,1,6,3,5,1,1984,5,12,1,2,15.000,7,10,30,10,0
1064,1 ,71.30,69.98,66.69,70.82,69.90,66.66,71.24,70.76,2,35,1,9,3,5,1,1984,5,12,7,9,40.000,25,35,10,0,0
1065,1 ,93.20,93.37,73.90,96.72,96.90,96.92,95.55,96.30,2,31,2,6,5,6,1,1989,6,7,6,2,11.000,15,12,18,20,0
1066,1 ,82.41,83.52,81.56,84.72,81.00,80.52,82.35,85.54,2,10,1,6,5,6,1,1983,5,12,4,6,16.000,10,5,20,20,0
1067,1 ,71.38,82.98,59.04,72.71,56.72,79.99,78.09,86.32,1,14,3,10,3,5,1,1991,5,10,7,9,20.000,14,12,30,0,0
1068,1 ,82.86,75.82,81.41,73.61,79.54,88.88,84.49,76.99,2,29,2,2,5,6,1,1990,4,4,2,5,30.000,11,11,20,30,0
1069,1 ,83.21,82.35,81.56,81.03,82.78,83.60,86.72,88.52,2,25,1,5,1,1,#NULL!,1994,6,3,4,8,34.000,12,12,25,15,0
1070,1 ,83.19,74.39,70.44,81.50,77.70,82.73,73.15,88.87,2,32,2,8,3,5,1,1988,6,8,3,4,30.000,14,22,20,0,0
1071,1 ,82.23,88.92,77.81,81.45,82.78,88.88,97.70,88.87,1,5,2,5,5,6,1,1987,5,9,4,3,14.000,10,8,15,40,0
1072,1 ,87.07,79.83,77.81,81.93,83.85,83.06,84.31,84.77,2,29,1,7,3,2,#NULL!,1991,6,7,4,6,13.000,8,5,10,20,0
1073,1 ,85.04,88.92,88.92,85.19,82.61,86.14,84.31,84.77,2,29,2,7,3,2,#NULL!,1991,6,7,4,4,18.000,11,8,10,20,0
1074,1 ,79.84,73.75,77.81,81.45,77.29,72.49,71.04,66.66,1,17,1,12,3,5,1,1988,5,7,7,9,30.000,22,10,0,0,0
1075,1 ,76.70,77.80,77.81,77.77,77.76,77.77,77.77,77.76,2,8,1,8,2,3,#NULL!,1992,6,8,2,2,50.000,40,46,15,10,0
1076,1 ,81.75,69.01,81.56,74.50,72.97,75.56,80.07,67.01,2,26,1,5,3,2,#NULL!,1993,5,6,8,10,14.000,20,7,53,5,0
1077,1 ,90.77,92.61,96.28,88.88,92.11,85.81,93.32,92.98,2,18,2,6,5,6,1,1985,3,12,3,4,14.000,8,7,25,28,0
1078,1 ,78.53,60.40,70.44,67.55,70.97,72.49,62.41,55.55,2,35,2,15,3,5,1,1985,5,13,5,6,14.000,15,7,50,7,0
1079,1 ,60.10,65.28,48.07,67.55,74.85,79.99,64.57,66.23,2,18,2,12,3,5,1,1982,5,14,3,3,12.000,5,6,0,20,0
1080,1 ,65.40,76.95,66.84,73.61,76.36,69.95,77.77,74.01,2,10,1,5,3,5,1,1988,4,8,5,4,10.000,8,7,20,10,0
1081,1 ,97.08,92.20,73.90,99.98,92.11,91.63,91.16,99.98,2,29,1,4,5,6,1,1991,6,5,5,5,11.000,10,11,20,0,0
1082,1 ,42.61,45.58,37.09,41.17,38.11,41.69,39.86,40.33,2,32,1,12,3,5,1,1988,6,12,6,1,37.000,33,33,25,0,0
1083,2 ,97.08,95.98,96.28,95.82,87.26,94.70,93.26,92.20,2,47,1,16,3,5,1,1972,6,25,5,6,7.000,6,5,15,0,0
1084,2 ,83.21,84.65,81.56,88.88,85.63,83.60,84.49,84.77,1,35,1,8,5,6,1,1985,6,11,3,6,8.000,18,12,20,20,0
1085,2 ,67.74,72.12,70.44,63.40,54.24,61.38,69.01,69.98,2,20,1,6,1,1,#NULL!,1990,6,7,4,5,17.000,16,28,0,0,0
1086,2 ,86.35,84.65,77.81,77.77,77.76,77.77,73.40,74.09,2,15,3,8,6,6,2,1990,5,8,7,9,15.000,7,7,0,0,0
1087,2 ,65.59,66.69,66.69,74.50,66.65,66.66,66.67,66.66,1,10,2,7,3,5,1,1988,5,12,4,6,20.000,10,12,0,17,0
1088,2 ,94.63,98.77,88.92,99.98,93.89,96.92,93.26,99.98,2,30,2,2,3,5,1,1989,8,5,2,5,25.000,15,13,20,0,0
1089,2 ,66.18,78.56,66.69,70.40,60.78,58.30,64.25,51.79,2,5,2,5,3,2,#NULL!,1996,5,3,1,8,60.000,20,40,0,0,0
1090,2 ,77.81,74.11,81.41,77.77,74.69,80.31,71.04,70.33,1,10,2,4,4,2,#NULL!,1992,5,6,4,2,25.000,12,15,0,0,0
1091,2 ,77.99,76.18,74.05,74.50,74.46,83.39,71.10,76.99,2,30,2,6,3,5,1,1989,6,7,4,3,25.000,14,9,20,20,0
1092,2 ,85.55,80.48,74.05,74.50,82.78,80.85,84.31,92.98,2,35,1,11,5,6,1,1985,6,12,4,2,9.000,5,4,15,25,0
1093,2 ,94.33,93.09,85.17,88.88,93.72,94.17,93.26,92.20,1,9,2,3,5,6,1,1987,6,9,3,4,10.000,4,3,20,20,0
1094,2 ,68.73,69.98,62.94,66.66,66.65,75.03,73.34,69.98,2,20,2,4,4,4,#NULL!,1994,6,4,4,7,15.000,7,7,0,25,0
1095,2 ,74.25,86.89,81.56,81.45,79.00,83.60,82.21,78.11,2,10,4,5,5,5,2,1970,5,25,9,11,30.000,20,26,0,0,0
1096,2 ,72.82,71.14,66.69,69.92,69.73,69.74,71.04,69.98,2,20,2,4,4,4,#NULL!,1994,6,4,4,7,8.000,5,5,0,0,0
1097,2 ,52.81,59.84,44.45,59.71,60.40,63.26,57.85,66.31,2,5,3,5,3,2,#NULL!,1992,5,4,4,8,15.000,6,4,25,25,0
1098,2 ,75.78,74.52,77.81,81.03,72.75,72.49,80.07,74.44,2,40,1,15,3,5,1,1980,6,16,3,2,30.000,25,20,0,0,0
1099,2 ,73.93,77.40,74.05,78.66,74.52,75.03,75.49,74.44,2,35,1,15,3,5,1,1985,5,10,3,2,13.000,25,25,0,0,0
1100,2 ,77.27,83.48,81.56,80.56,77.60,77.77,80.07,81.44,2,31,1,10,3,2,#NULL!,1988,5,8,4,1,19.000,9,13,0,0,0
1101,2 ,82.23,79.07,81.56,74.50,81.00,83.60,80.05,77.76,1,10,1,5,3,5,1,1990,6,4,6,2,17.000,15,20,10,6,0
1102,2 ,79.84,83.52,85.17,81.03,81.00,83.60,84.49,85.54,1,25,2,3,2,3,#NULL!,1995,6,3,4,5,30.000,18,8,30,20,0
1103,1 ,64.60,64.95,70.30,70.34,57.32,72.28,73.20,62.12,2,36,2,10,5,6,1,1983,6,12,4,2,22.000,12,8,20,25,0
1104,1 ,85.78,86.89,74.20,85.61,80.84,80.52,82.16,77.34,2,40,1,10,3,5,1,1980,5,16,7,9,30.000,25,15,25,6,0
1105,1 ,71.30,72.77,77.81,81.45,71.73,66.66,75.49,78.19,2,15,2,10,5,6,1,1985,5,12,4,4,30.000,9,14,10,20,0
1106,1 ,83.93,78.66,81.41,85.19,76.46,77.77,80.05,84.77,1,15,1,12,3,5,1,1984,5,13,4,6,46.000,25,14,30,20,0
1107,1 ,81.49,84.50,81.56,88.88,88.87,91.63,84.51,88.87,2,10,2,7,5,6,1,1984,5,12,4,6,36.000,23,13,20,20,0
1108,1 ,81.69,74.52,81.56,77.77,79.70,83.60,79.87,73.66,2,6,2,9,2,3,#NULL!,1988,5,9,7,9,60.000,50,40,10,10,0
1109,1 ,74.25,72.41,74.05,77.77,79.23,69.41,79.92,77.76,1,10,2,8,3,5,1,1981,5,16,4,3,12.000,8,4,0,50,0
1110,1 ,63.34,67.41,70.30,62.97,71.51,60.84,66.65,62.55,2,27,2,2,3,2,#NULL!,1992,4,4,4,8,15.000,6,12,0,0,0
1111,1 ,73.93,66.69,74.05,77.35,75.93,72.49,77.58,74.79,2,30,2,10,3,5,1,1989,6,8,4,5,39.000,22,19,0,20,0
1112,1 ,85.04,83.89,77.81,81.45,84.02,83.06,75.48,74.44,2,34,2,5,3,5,1,1985,5,11,4,2,25.000,13,9,0,0,0
1113,1 ,82.41,84.46,81.56,81.93,88.87,83.60,84.44,81.87,2,11,2,8,3,5,1,1989,6,8,7,9,60.000,50,40,10,10,0
1114,1 ,78.92,77.80,70.30,77.77,66.72,66.13,68.82,70.76,1,10,1,5,4,6,2,1983,5,13,6,3,20.000,16,15,20,15,0
1115,1 ,68.54,72.41,74.05,77.29,77.76,75.56,75.43,73.31,2,35,1,10,2,3,#NULL!,1984,4,10,4,5,15.000,12,10,25,15,0
1116,1 ,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,29,2,6,2,3,#NULL!,1983,6,12,6,4,19.000,12,6,20,30,0
1117,1 ,82.41,83.60,74.20,85.19,79.00,83.06,82.16,82.22,2,31,1,8,6,6,2,1989,6,8,4,3,30.000,22,26,16,6,0
1118,1 ,73.93,74.52,70.44,70.82,72.91,72.49,71.06,70.33,1,10,1,11,4,5,2,1990,5,8,1,3,35.000,27,18,25,10,0
1119,1 ,77.27,76.92,74.05,74.08,69.73,82.73,77.96,78.89,2,7,1,6,5,6,1,1986,8,7,3,7,32.000,16,10,20,30,0
1120,1 ,70.94,73.75,74.20,76.87,76.05,63.80,73.15,80.67,2,5,4,3,3,5,1,1970,4,25,9,11,60.000,55,50,15,0,0
1121,1 ,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,29,2,5,2,3,#NULL!,1981,6,15,5,4,41.000,27,22,20,0,0
1122,1 ,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,2,28,1,3,3,5,1,1984,6,11,4,2,40.000,24,19,25,0,0
1123,2 ,85.97,81.09,77.81,88.88,90.34,85.81,82.15,81.09,2,25,1,8,3,2,#NULL!,1991,6,6,4,8,11.000,8,10,25,0,0
1124,2 ,61.66,71.08,48.36,66.13,44.87,91.09,55.62,49.97,2,38,1,11,3,5,1,1982,5,15,7,9,13.000,5,10,20,13,0
1125,2 ,61.84,74.23,55.58,89.35,68.49,71.95,66.65,67.35,2,27,2,7,6,6,2,1993,8,3,2,7,18.000,12,15,16,8,0
1126,2 ,46.53,84.92,81.56,85.61,85.32,91.63,82.15,85.54,1,20,2,5,5,5,3,1985,6,10,4,2,18.000,12,13,30,10,0
1127,2 ,71.68,72.12,70.44,77.77,72.91,72.49,71.04,70.33,1,5,2,10,1,1,#NULL!,1990,6,4,3,7,18.000,15,12,12,10,0
1128,2 ,75.78,77.80,77.81,77.77,77.76,77.77,77.77,77.76,1,30,1,10,3,5,1,1982,6,15,4,2,20.000,15,12,20,0,0
1129,2 ,88.92,90.18,88.92,88.88,85.79,88.88,95.55,92.98,2,20,2,15,3,5,1,1972,8,22,3,2,21.000,10,8,15,25,0
1130,2 ,80.77,87.65,88.92,81.45,80.78,83.60,82.16,81.87,2,39,1,15,4,5,2,1981,6,15,4,3,30.000,17,16,25,0,0
1131,2 ,64.43,72.41,70.44,70.34,68.12,74.70,75.49,77.76,2,9,1,3,3,5,1,1988,5,9,4,7,30.000,10,20,30,5,0
1132,2 ,80.38,81.50,81.56,81.93,85.85,86.14,77.77,85.54,1,15,1,10,3,5,1,1982,6,15,1,4,11.000,15,4,10,5,0
1133,2 ,80.38,84.10,70.44,88.88,79.48,88.88,84.49,77.34,1,21,1,7,3,5,1,1982,5,17,4,2,11.000,12,10,25,20,0
1134,2 ,81.36,78.38,85.17,81.45,82.55,83.06,86.41,81.09,2,39,1,20,4,5,2,1981,5,15,4,3,30.000,15,14,25,0,0
1135,2 ,74.25,74.43,74.05,74.08,79.37,74.70,77.64,69.98,2,20,2,10,5,6,1,1987,6,10,4,4,18.000,11,5,20,25,0
1136,2 ,91.68,86.67,92.53,96.72,93.89,83.60,82.15,87.67,2,17,3,7,3,5,1,1978,4,23,7,9,18.000,13,7,20,25,0
1137,2 ,63.74,59.27,51.82,63.40,63.64,71.95,73.38,66.66,2,32,1,6,3,5,1,1986,5,8,5,4,20.000,8,6,20,30,0
1138,2 ,87.03,74.92,55.72,67.55,71.83,82.53,75.47,78.11,2,30,2,18,5,6,2,1971,5,25,7,9,20.000,15,10,44,14,0
1139,2 ,77.81,77.80,70.30,74.50,71.45,77.77,77.77,77.76,2,26,1,3,2,3,#NULL!,1993,6,3,6,8,20.000,10,17,0,0,0
1140,2 ,72.59,78.66,59.33,85.61,77.70,85.81,73.32,81.09,1,28,2,7,3,2,#NULL!,1990,6,6,4,2,20.000,13,10,20,0,0
1141,2 ,80.38,74.52,66.69,76.87,79.54,80.52,75.68,77.76,2,12,2,8,5,6,1,1986,6,11,4,6,30.000,17,18,10,0,0
1142,2 ,75.78,73.67,63.08,70.34,69.67,71.95,62.42,67.08,2,20,2,5,3,5,1,1988,6,7,4,4,30.000,10,11,20,20,0
1143,2 ,79.84,79.07,81.56,81.03,80.84,77.77,82.35,70.33,2,18,2,2,3,5,1,1982,5,15,4,7,11.000,10,18,0,0,0
1144,2 ,72.59,74.30,85.17,66.19,71.30,75.23,66.53,69.21,2,30,3,7,5,6,2,1990,6,6,3,5,12.000,7,9,20,10,0
1145,2 ,74.82,74.15,81.56,84.72,74.69,77.77,77.77,88.87,1,8,1,5,3,2,#NULL!,1995,6,1,2,8,14.000,8,10,0,25,0
1146,2 ,79.64,63.94,55.58,52.75,49.45,55.22,62.14,51.87,1,21,1,16,3,5,1,1984,6,16,5,1,14.000,32,31,10,5,0
1147,2 ,77.81,74.11,70.30,77.77,71.45,77.77,77.77,77.76,2,25,1,3,3,2,#NULL!,1994,6,3,3,8,14.000,10,15,0,0,0
1148,2 ,71.36,63.40,62.94,71.24,67.90,66.99,60.13,58.45,2,6,1,3,3,5,1,1985,6,12,2,7,19.000,16,10,30,5,0
1149,2 ,72.41,72.41,59.33,74.08,71.67,69.41,73.34,77.76,2,35,2,10,3,5,1,1984,6,12,3,7,20.000,7,8,0,30,0
1150,2 ,79.66,64.67,66.69,66.66,69.90,69.41,71.04,73.66,1,35,1,10,3,5,1,1984,6,12,3,7,20.000,10,8,0,35,0
1151,2 ,76.88,76.17,70.44,76.87,69.51,80.52,75.45,71.11,2,4,2,8,3,5,1,1990,5,10,3,3,37.000,35,20,20,10,0
1152,2 ,63.55,58.15,66.69,70.34,70.06,66.66,59.93,62.55,2,31,1,8,3,2,#NULL!,1988,6,6,5,6,8.000,6,12,0,20,0
1153,2 ,73.33,74.11,77.81,77.77,71.67,77.77,77.97,77.76,2,23,2,2,3,2,#NULL!,1997,5,3,4,8,15.000,10,9,45,5,0
1154,2 ,82.23,77.23,73.90,85.61,68.43,73.83,75.47,77.76,2,28,2,6,3,5,1,1991,5,6,4,3,18.000,9,10,15,0,0
1155,2 ,82.23,76.95,74.05,70.82,74.69,78.10,75.48,70.33,1,20,2,6,3,5,1,1986,5,10,4,2,20.000,12,9,0,0,0
1156,2 ,94.45,99.03,88.92,99.98,92.11,99.99,97.70,99.98,2,30,1,2,3,5,1,1989,8,5,2,5,11.000,9,12,25,0,0
1157,2 ,82.09,78.56,70.44,84.72,77.93,72.49,66.60,81.44,2,26,2,3,2,3,#NULL!,1993,6,4,6,4,11.000,9,14,0,0,0
1158,2 ,53.19,54.66,44.75,70.34,63.80,66.34,82.35,74.51,1,9,2,2,5,5,2,1990,6,8,2,2,14.000,23,12,32,12,0
1159,2 ,81.75,83.20,74.20,85.61,73.22,78.31,86.79,80.67,2,15,2,8,4,6,1,1990,6,9,6,5,14.000,6,10,20,10,0
1160,2 ,75.78,77.80,77.81,77.77,77.76,77.77,77.77,77.76,2,37,1,10,3,5,1,1982,6,15,4,2,15.000,8,7,40,0,0
1161,2 ,83.87,84.64,81.56,84.24,86.71,73.02,75.71,80.32,2,46,1,6,6,6,1,1974,6,23,7,9,15.000,12,10,26,15,0
1162,2 ,71.68,77.04,66.69,81.03,79.06,72.49,79.87,67.43,2,30,2,15,3,5,1,1986,5,13,4,3,24.000,8,7,20,25,0
1163,2 ,61.66,71.71,85.17,63.44,61.22,58.83,73.43,64.45,2,42,1,15,4,6,1,1978,6,18,4,4,18.000,10,12,34,8,0
1164,2 ,83.21,80.20,74.20,89.30,78.84,80.52,82.15,77.76,1,15,1,6,4,6,1,1991,5,6,4,8,15.000,10,9,0,13,0
1165,2 ,77.78,79.95,70.44,73.61,79.48,77.77,75.48,74.44,2,39,1,15,6,6,2,1981,5,19,3,2,20.000,10,16,21,5,0
1166,2 ,73.21,75.78,66.69,66.66,69.90,69.08,73.20,70.76,1,21,1,5,3,5,1,1984,5,10,5,2,20.000,12,10,38,0,0
1167,2 ,72.67,68.93,66.69,69.92,66.88,77.77,77.76,66.66,2,25,2,5,3,2,#NULL!,1995,6,2,4,8,30.000,15,10,0,0,0
1168,2 ,63.14,59.92,51.82,40.75,51.00,55.02,73.19,55.47,2,19,2,6,5,6,1,1974,5,22,2,3,30.000,12,18,0,0,0
1169,2 ,53.73,55.84,44.60,54.65,44.37,44.98,48.65,52.57,2,12,1,4,4,5,2,1993,5,5,3,5,80.000,70,54,0,0,0
1170,2 ,82.28,88.92,85.17,81.45,85.85,86.14,82.35,85.54,2,11,2,7,3,2,#NULL!,1989,5,7,4,1,13.000,40,30,10,10,0
1171,2 ,81.69,82.07,81.56,81.03,82.78,80.52,82.35,81.87,2,10,1,8,5,6,1,1990,6,6,5,3,14.000,7,4,20,25,0
1172,2 ,87.07,85.22,77.81,88.88,77.76,88.88,88.88,88.87,2,33,1,6,3,5,1,1987,6,7,5,4,17.000,10,12,0,30,0
1173,2 ,84.50,79.83,77.81,77.77,82.61,86.14,86.60,88.87,2,10,1,7,5,6,1,1990,4,6,5,3,21.000,11,8,20,20,0
1174,2 ,88.92,86.89,85.17,88.88,88.87,83.06,86.79,88.87,1,11,2,9,2,2,#NULL!,1989,5,8,7,9,30.000,20,26,10,10,1
1175,2 ,94.45,98.77,88.92,96.30,96.90,99.99,99.99,99.98,2,30,1,2,3,5,1,1989,8,5,2,5,26.000,7,13,25,0,0
1176,2 ,88.92,88.92,88.92,88.88,85.85,83.60,86.60,81.09,2,27,2,8,3,5,1,1992,5,6,4,2,30.000,20,8,50,10,0
1177,2 ,74.25,76.54,70.44,77.77,74.69,77.77,71.06,73.66,1,10,1,8,3,5,1,1990,6,6,4,4,30.000,25,26,0,0,0
1178,2 ,83.93,84.37,88.92,85.61,85.79,82.73,88.88,82.22,1,15,1,10,4,6,2,1985,4,15,3,5,30.000,25,15,30,10,0
1179,2 ,83.21,83.20,88.92,84.72,85.63,83.06,82.16,81.87,2,39,1,11,3,5,1,1981,5,15,3,4,22.000,16,15,29,10,0
1180,2 ,70.57,74.52,62.94,70.82,69.73,69.41,73.34,73.66,1,15,1,18,3,5,1,1980,4,17,7,9,30.000,25,26,0,0,0
1181,2 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,10,1,12,3,5,1,1982,5,15,3,2,9.000,5,3,20,25,0
1182,2 ,90.95,92.20,96.28,92.14,93.72,91.63,93.46,96.30,1,24,1,5,2,3,#NULL!,1995,5,2,5,7,13.000,5,5,15,25,0
1183,2 ,72.95,79.95,70.30,74.08,73.34,69.41,88.88,77.76,2,6,1,5,5,6,1,1986,8,5,3,3,19.000,6,9,20,0,0
1184,2 ,99.04,99.03,99.03,99.98,96.43,86.14,84.31,77.76,2,10,1,7,5,6,1,1990,6,6,5,3,18.000,7,5,20,30,0
1185,2 ,88.74,81.09,85.17,81.03,81.06,83.60,80.05,81.09,2,20,1,12,3,5,1,1984,6,13,4,7,16.000,10,4,30,20,0
1186,2 ,79.84,84.50,77.81,85.19,79.54,86.14,80.07,84.77,2,10,1,7,5,6,1,1990,4,6,5,3,18.000,11,5,25,25,0
1187,2 ,59.83,68.98,66.69,62.92,75.76,64.12,73.34,62.47,2,6,2,6,5,6,1,1973,8,22,3,2,50.000,45,25,20,12,0
1188,2 ,77.81,69.69,70.44,74.50,71.67,69.41,73.20,73.66,1,10,2,15,3,5,1,1980,4,16,4,2,50.000,45,40,0,0,0
1189,2 ,82.80,82.22,85.17,85.19,84.08,86.14,80.05,81.09,1,15,2,5,5,6,1,1990,5,6,5,4,10.000,14,12,38,5,0
